Date,Item Description,Quantity,Amount
2024-09-05,Gadget,65,561.5
2024-01-21,Widget,46,120.57
2024-12-18,Thingamajig,89,852.29
2024-06-23,Widget,99,333.76
2024-05-12,Gadget,84,918.64
2024-02-01,Thingamajig,84,331.4
2024-03-31,Thingamajig,11,654.76
2024-03-16,Contraption,96,997.5
2024-09-24,Contraption,66,898.01
2024-03-10,Thingamajig,86,616.69
2024-04-21,Thingamajig,65,399.82
2024-01-14,Gadget,10,235.21
2024-07-31,Thingamajig,16,634.82
2024-06-13,Gadget,13,30.73
2024-07-27,Doohickey,15,18.01
2024-04-23,Doohickey,62,386.78
2024-02-03,Contraption,84,173.91
2024-12-06,Gadget,49,352.47
2024-01-13,Thingamajig,59,287.08
2024-06-06,Contraption,82,615.87
2024-01-10,Widget,5,670.29
2024-06-20,Widget,28,605.44
2024-06-25,Thingamajig,61,866.01
2024-04-20,Gadget,78,885.94
2024-03-31,Gadget,86,263.59
2024-05-21,Thingamajig,20,42.07
2024-01-09,Contraption,46,449.64
2024-05-09,Gadget,31,943.91
2024-01-03,Gadget,92,553.77
2024-01-08,Doohickey,40,423.69
2024-04-17,Gadget,12,380.64
2024-02-26,Gadget,75,305.48
2024-08-09,Doohickey,81,998.63
2024-03-13,Contraption,30,402.51
2024-09-27,Widget,26,717.68
2024-10-02,Widget,82,873.0
2024-10-29,Widget,44,606.91
2024-08-02,Gadget,82,818.29
2024-07-17,Contraption,4,97.59
2024-06-06,Doohickey,65,772.09
2024-11-18,Contraption,10,629.83
2024-07-18,Widget,7,715.51
2024-06-20,Thingamajig,66,40.85
2024-07-23,Gadget,9,981.73
2024-04-23,Gadget,67,103.76
2024-09-10,Doohickey,81,447.22
2024-05-04,Doohickey,21,924.59
2024-01-08,Contraption,25,292.37
2024-05-29,Contraption,60,903.68
2024-09-25,Doohickey,85,904.53
2024-07-16,Doohickey,75,890.15
2024-12-14,Widget,26,463.0
2024-07-11,Doohickey,81,271.41
2024-02-18,Widget,93,780.26
2024-09-13,Thingamajig,29,73.48
2024-12-25,Gadget,75,842.19
2024-08-08,Widget,60,304.87
2024-08-30,Widget,52,202.65
2024-03-28,Doohickey,27,470.27
2024-08-08,Gadget,86,333.26
2024-07-03,Gadget,96,75.35
2024-08-09,Widget,70,418.61
2024-10-29,Thingamajig,35,610.33
2024-02-05,Contraption,94,406.17
2024-03-23,Gadget,63,550.84
2024-01-02,Contraption,47,648.88
2024-01-07,Contraption,24,370.56
2024-10-28,Widget,22,301.92
2024-12-21,Thingamajig,23,265.12
2024-11-08,Widget,58,552.7
2024-09-09,Doohickey,80,707.43
2024-06-17,Thingamajig,84,581.34
2024-12-10,Gadget,44,513.99
2024-03-07,Contraption,92,890.87
2024-07-24,Thingamajig,16,842.76
2024-05-20,Doohickey,40,657.21
2024-01-08,Thingamajig,86,371.48
2024-09-09,Contraption,54,318.54
2024-03-15,Doohickey,81,863.44
2024-10-11,Contraption,49,664.05
2024-06-15,Doohickey,1,778.12
2024-01-11,Contraption,37,811.01
2024-12-12,Gadget,7,675.15
2024-06-06,Widget,80,18.46
2024-08-14,Contraption,75,886.22
2024-04-15,Thingamajig,3,906.91
2024-01-28,Contraption,89,94.1
2024-01-06,Gadget,30,578.2
2024-05-23,Contraption,44,885.4
2024-11-11,Widget,98,378.01
2024-10-21,Thingamajig,52,642.47
2024-11-27,Gadget,62,926.72
2024-01-24,Contraption,31,578.64
2024-03-05,Widget,27,800.85
2024-03-28,Gadget,25,573.99
2024-03-01,Contraption,45,563.9
2024-05-11,Doohickey,54,236.58
2024-09-08,Contraption,68,709.44
2024-01-29,Gadget,72,83.79
2024-12-08,Contraption,57,691.28
2024-09-30,Widget,8,206.61
2024-07-23,Contraption,20,970.04
2024-07-16,Widget,41,81.8
2024-09-08,Doohickey,73,500.24
2024-08-01,Contraption,31,319.82
2024-08-17,Gadget,14,807.87
2024-02-12,Doohickey,83,48.41
2024-07-06,Thingamajig,99,225.56
2024-11-23,Doohickey,14,159.56
2024-01-05,Thingamajig,9,888.9
2024-08-12,Gadget,87,464.68
2024-08-22,Widget,20,498.42
2024-10-18,Doohickey,81,38.65
2024-04-08,Gadget,87,354.59
2024-04-27,Doohickey,28,254.98
2024-03-17,Gadget,19,746.17
2024-05-28,Contraption,41,623.11
2024-10-07,Contraption,87,102.25
2024-03-05,Contraption,63,818.66
2024-10-27,Thingamajig,17,598.45
2024-10-14,Gadget,38,900.54
2024-03-30,Contraption,27,853.9
2024-12-26,Doohickey,63,288.44
2024-10-10,Doohickey,59,219.24
2024-09-13,Contraption,69,339.03
2024-02-08,Doohickey,80,913.94
2024-01-17,Gadget,78,229.63
2024-08-03,Doohickey,75,968.26
2024-07-31,Widget,34,285.99
2024-07-02,Doohickey,74,180.92
2024-06-13,Widget,5,585.61
2024-05-06,Thingamajig,62,412.69
2024-04-28,Thingamajig,5,521.77
2024-03-20,Doohickey,18,850.02
2024-06-11,Contraption,14,596.24
2024-02-10,Contraption,60,749.1
2024-08-09,Doohickey,81,97.41
2024-05-22,Gadget,37,529.14
2024-08-30,Thingamajig,90,388.6
2024-01-12,Contraption,13,68.89
2024-12-06,Thingamajig,44,733.2
2024-01-09,Widget,87,460.85
2024-11-27,Widget,39,640.14
2024-06-26,Doohickey,52,702.99
2024-11-13,Doohickey,95,291.08
2024-04-23,Gadget,82,757.04
2024-02-16,Gadget,37,926.63
2024-09-04,Widget,70,81.21
2024-05-03,Widget,7,46.44
2024-05-03,Contraption,24,692.6
2024-06-25,Widget,33,660.88
2024-07-23,Thingamajig,47,140.34
2024-04-25,Gadget,48,485.22
2024-12-02,Doohickey,83,546.33
2024-01-06,Widget,13,363.07
2024-03-02,Contraption,41,879.06
2024-11-11,Doohickey,45,873.97
2024-04-11,Widget,25,899.62
2024-01-06,Doohickey,61,303.66
2024-03-17,Contraption,23,687.69
2024-03-23,Doohickey,11,462.28
2024-08-29,Thingamajig,51,408.77
2024-10-05,Thingamajig,37,222.12
2024-03-11,Gadget,42,365.07
2024-05-19,Doohickey,94,167.82
2024-06-03,Widget,66,801.47
2024-11-07,Gadget,69,617.56
2024-01-14,Gadget,87,551.18
2024-01-11,Doohickey,19,116.05


